x,T,Ybar.Liq,p,rho,U_0,U_1,U_2
5.385625,297.864586,0,99839.62263,1.167890598,0.6033163381,0,0
5.386875,297.8644993,0,99839.53733,1.16788994,0.6030640228,0,0
5.388125,297.8644136,0,99839.45234,1.167889282,0.6029356314,0,0
5.389375,297.8643306,0,99839.3677,1.167888618,0.6028402734,0,0
5.390625,297.8642485,0,99839.28351,1.167887955,0.6025938412,0,0
5.391875,297.864167,0,99839.1997,1.167887294,0.6023404851,0,0
5.393125,297.8640857,0,99839.11619,1.167886636,0.6021613843,0,0
5.394375,297.8640027,0,99839.03304,1.167885989,0.6019292034,0,0
5.395625,297.8639193,0,99838.95022,1.167885347,0.6017171973,0,0
5.396875,297.8638375,0,99838.86772,1.167884702,0.6015267587,0,0
5.398125,297.863756,0,99838.78554,1.167884061,0.6013212105,0,0
5.399375,297.8636749,0,99838.70368,1.167883421,0.6011115536,0,0
5.400625,297.8635943,0,99838.62212,1.167882783,0.6009077296,0,0
5.401875,297.8635144,0,99838.54086,1.167882146,0.600707662,0,0
5.403125,297.8634349,0,99838.4599,1.16788151,0.6005067135,0,0
5.404375,297.8633559,0,99838.37922,1.167880876,0.6003061228,0,0
5.405625,297.8632773,0,99838.29882,1.167880244,0.6001068001,0,0
5.406875,297.8631992,0,99838.2187,1.167879613,0.5999079433,0,0
5.408125,297.8631215,0,99838.13884,1.167878984,0.5997096351,0,0
5.409375,297.8630442,0,99838.05925,1.167878355,0.5995122735,0,0
5.410625,297.8629674,0,99837.97991,1.167877729,0.5993156034,0,0
5.411875,297.862891,0,99837.90081,1.167877103,0.5991193291,0,0
5.413125,297.862815,0,99837.82197,1.167876479,0.5989238132,0,0
5.414375,297.8627395,0,99837.74336,1.167875855,0.598728894,0,0
5.415625,297.8626642,0,99837.66498,1.167875233,0.5985344887,0,0
5.416875,297.8625896,0,99837.58683,1.167874612,0.598340456,0,0
5.418125,297.8625151,0,99837.5089,1.167873992,0.5981465063,0,0
5.419375,297.8624412,0,99837.43118,1.167873373,0.5979529433,0,0
5.420625,297.8623674,0,99837.35368,1.167872756,0.5977599386,0,0
5.421875,297.8622944,0,99837.2764,1.167872138,0.5975614082,0,0
5.423125,297.8622204,0,99837.19933,1.167871526,0.5973300094,0,0
5.424375,297.8621485,0,99837.12245,1.167870909,0.5971095945,0,0
5.425625,297.8620791,0,99837.04573,1.167870284,0.5969737424,0,0
5.426875,297.8620118,0,99836.96919,1.167869652,0.5968529837,0,0
5.428125,297.8619446,0,99836.89288,1.167869023,0.5966691749,0,0
5.429375,297.8618767,0,99836.81678,1.167868399,0.5964727624,0,0
5.430625,297.8618078,0,99836.74086,1.167867781,0.5962627474,0,0
5.431875,297.8617379,0,99836.66512,1.167867169,0.5960480985,0,0
5.433125,297.8616677,0,99836.58955,1.16786656,0.595869569,0,0
5.434375,297.8615981,0,99836.51415,1.167865951,0.5956909474,0,0
5.435625,297.861529,0,99836.43893,1.167865342,0.5955024998,0,0
5.436875,297.8614599,0,99836.3639,1.167864736,0.5953117442,0,0
5.438125,297.8613912,0,99836.28904,1.167864129,0.5951258619,0,0
5.439375,297.8613227,0,99836.21435,1.167863524,0.5949412938,0,0
5.440625,297.8612544,0,99836.13984,1.16786292,0.5947561867,0,0
5.441875,297.8611863,0,99836.06551,1.167862318,0.5945714978,0,0
5.443125,297.8611184,0,99835.99135,1.167861717,0.5943874549,0,0
5.444375,297.8610508,0,99835.91737,1.167861116,0.5942038643,0,0
5.445625,297.8609834,0,99835.84357,1.167860517,0.5940207892,0,0
5.446875,297.8609162,0,99835.76995,1.16785992,0.5938381083,0,0
5.448125,297.8608492,0,99835.69652,1.167859323,0.5936559337,0,0
5.449375,297.8607825,0,99835.62326,1.167858728,0.5934742085,0,0
5.450625,297.860716,0,99835.5502,1.167858134,0.5932928545,0,0
5.451875,297.8606498,0,99835.47733,1.167857541,0.5931121298,0,0
5.453125,297.8605837,0,99835.40465,1.16785695,0.5929318654,0,0
5.454375,297.860518,0,99835.33217,1.16785636,0.5927517942,0,0
5.455625,297.8604523,0,99835.25989,1.167855772,0.5925713246,0,0
5.456875,297.8603871,0,99835.18781,1.167855184,0.5923921183,0,0
5.458125,297.8603218,0,99835.11595,1.1678546,0.5922125926,0,0
5.459375,297.8602574,0,99835.04431,1.167854014,0.5919983785,0,0
5.460625,297.8601931,0,99834.97289,1.167853431,0.591788116,0,0
5.461875,297.8601303,0,99834.90166,1.167852844,0.591671888,0,0
5.463125,297.8600678,0,99834.83065,1.167852258,0.5915634703,0,0
5.464375,297.8600056,0,99834.75992,1.167851675,0.5913605897,0,0
5.465625,297.8599441,0,99834.68945,1.167851092,0.5911696134,0,0
5.466875,297.8598826,0,99834.61921,1.167850511,0.5910009202,0,0
5.468125,297.8598204,0,99834.54923,1.167849936,0.5908143088,0,0
5.469375,297.8597579,0,99834.47952,1.167849366,0.5906387555,0,0
5.470625,297.8596957,0,99834.41007,1.167848797,0.5904711815,0,0
5.471875,297.8596338,0,99834.3409,1.167848231,0.5902998344,0,0
5.473125,297.8595722,0,99834.27202,1.167847667,0.5901265182,0,0
5.474375,297.8595107,0,99834.20343,1.167847105,0.5899555292,0,0
5.475625,297.8594496,0,99834.13515,1.167846546,0.5897863715,0,0
5.476875,297.8593887,0,99834.06718,1.16784599,0.5896175061,0,0
5.478125,297.8593281,0,99833.99954,1.167845436,0.5894494581,0,0
5.479375,297.8592678,0,99833.93222,1.167844885,0.5892823236,0,0
5.480625,297.8592077,0,99833.86525,1.167844337,0.5891160498,0,0
5.481875,297.859148,0,99833.79863,1.167843792,0.5889506906,0,0
5.483125,297.8590886,0,99833.73236,1.16784325,0.5887862324,0,0
5.484375,297.8590294,0,99833.66647,1.167842711,0.5886227077,0,0
5.485625,297.8589706,0,99833.60096,1.167842175,0.588460133,0,0
5.486875,297.8589121,0,99833.53584,1.167841643,0.5882985493,0,0
5.488125,297.858854,0,99833.47112,1.167841114,0.588137983,0,0
5.489375,297.8587962,0,99833.40681,1.167840588,0.5879787967,0,0
5.490625,297.8587388,0,99833.34293,1.167840066,0.5878198575,0,0
5.491875,297.8586817,0,99833.27948,1.167839547,0.587661531,0,0
5.493125,297.8586251,0,99833.21647,1.167839032,0.5875046264,0,0
5.494375,297.8585687,0,99833.15393,1.167838522,0.5873491138,0,0
5.495625,297.858513,0,99833.09185,1.167838014,0.5871913719,0,0
5.496875,297.8584571,0,99833.03027,1.167837513,0.5870131056,0,0
5.498125,297.8584025,0,99832.96917,1.167837012,0.5868417884,0,0
5.499375,297.8583495,0,99832.90855,1.167836511,0.5867241575,0,0
5.500625,297.858298,0,99832.84844,1.167836009,0.5866231171,0,0
5.501875,297.8582469,0,99832.78888,1.167835513,0.5864790768,0,0
5.503125,297.8581955,0,99832.72987,1.167835024,0.5863279853,0,0
5.504375,297.8581437,0,99832.67143,1.167834544,0.5861637619,0,0
5.505625,297.8580918,0,99832.61354,1.16783407,0.5860046893,0,0
5.506875,297.8580402,0,99832.55622,1.167833602,0.5858685058,0,0
5.508125,297.8579891,0,99832.49949,1.167833139,0.5857322816,0,0
5.509375,297.8579386,0,99832.44337,1.16783268,0.5855919962,0,0
5.510625,297.8578887,0,99832.38787,1.167832227,0.5854517784,0,0
5.511875,297.8578392,0,99832.33299,1.167831779,0.585315448,0,0
5.513125,297.8577903,0,99832.27876,1.167831336,0.5851809279,0,0
5.514375,297.8577419,0,99832.22518,1.167830899,0.5850476555,0,0
5.515625,297.857694,0,99832.17227,1.167830468,0.5849161182,0,0
5.516875,297.8576467,0,99832.12005,1.167830042,0.5847863354,0,0
5.518125,297.8576,0,99832.06852,1.167829623,0.5846583274,0,0
5.519375,297.8575539,0,99832.01771,1.167829209,0.5845324486,0,0
5.520625,297.8575084,0,99831.96761,1.167828802,0.5844076467,0,0
5.521875,297.8574635,0,99831.91825,1.1678284,0.5842845069,0,0
5.523125,297.8574193,0,99831.86965,1.167828005,0.5841637457,0,0
5.524375,297.8573756,0,99831.82181,1.167827617,0.5840449868,0,0
5.525625,297.8573326,0,99831.77474,1.167827234,0.583928129,0,0
5.526875,297.8572903,0,99831.72847,1.167826859,0.5838131009,0,0
5.528125,297.8572488,0,99831.68301,1.16782649,0.5836999332,0,0
5.529375,297.8572078,0,99831.63837,1.167826129,0.5835882359,0,0
5.530625,297.8571677,0,99831.59457,1.167825774,0.5834787119,0,0
5.531875,297.8571281,0,99831.55161,1.167825426,0.5833706457,0,0
5.533125,297.8570896,0,99831.50954,1.167825085,0.5832419968,0,0
5.534375,297.8570517,0,99831.46833,1.167824752,0.5831193493,0,0
5.535625,297.8570158,0,99831.42801,1.16782442,0.5830508935,0,0
5.536875,297.8569814,0,99831.38857,1.167824094,0.5829901721,0,0
5.538125,297.8569477,0,99831.35009,1.167823776,0.5829003072,0,0
5.539375,297.8569144,0,99831.31256,1.167823468,0.5828087554,0,0
5.540625,297.8568813,0,99831.27598,1.16782317,0.582699546,0,0
5.541875,297.8568486,0,99831.24038,1.167822881,0.5825954599,0,0
5.543125,297.8568165,0,99831.20576,1.167822602,0.5825133266,0,0
5.544375,297.8567854,0,99831.17213,1.167822331,0.5824341054,0,0
5.545625,297.8567551,0,99831.13952,1.167822068,0.5823522937,0,0
5.546875,297.8567257,0,99831.10796,1.167821814,0.5822714921,0,0
5.548125,297.8566971,0,99831.07744,1.167821569,0.5821957682,0,0
5.549375,297.8566695,0,99831.04799,1.167821333,0.5821222398,0,0
5.550625,297.8566428,0,99831.01963,1.167821106,0.5820506293,0,0
5.551875,297.8566171,0,99830.99237,1.167820888,0.5819824962,0,0
5.553125,297.8565922,0,99830.96624,1.16782068,0.5819172918,0,0
5.554375,297.8565683,0,99830.94124,1.167820481,0.581854975,0,0
5.555625,297.8565454,0,99830.91741,1.167820292,0.5817954086,0,0
5.556875,297.8565235,0,99830.89475,1.167820113,0.5817387194,0,0
5.558125,297.8565027,0,99830.87328,1.167819943,0.5816850058,0,0
5.559375,297.8564828,0,99830.85303,1.167819784,0.5816342965,0,0
5.560625,297.8564641,0,99830.83402,1.167819635,0.5815866389,0,0
5.561875,297.8564464,0,99830.81626,1.167819497,0.5815420781,0,0
5.563125,297.8564299,0,99830.79977,1.167819369,0.5815006385,0,0
5.564375,297.8564144,0,99830.78458,1.167819252,0.5814623251,0,0
5.565625,297.8564001,0,99830.77071,1.167819146,0.5814269124,0,0
5.566875,297.856387,0,99830.75818,1.16781905,0.5813945368,0,0
5.568125,297.8563748,0,99830.74701,1.167818967,0.5813650226,0,0
5.569375,297.8563648,0,99830.73724,1.167818892,0.581319915,0,0
5.570625,297.8563552,0,99830.72886,1.167818832,0.581280561,0,0
5.571875,297.8563469,0,99830.7219,1.167818783,0.5812907463,0,0
5.573125,297.8563411,0,99830.71641,1.167818742,0.5813237805,0,0
5.574375,297.8563367,0,99830.71243,1.167818712,0.5812958789,0,0
5.575625,297.8563334,0,99830.70996,1.167818696,0.5812808181,0,0
5.576875,297.8563313,0,99830.709,1.167818693,0.5812802612,0,0
5.578125,297.8563299,0,99830.70962,1.167818706,0.5812730671,0,0
5.579375,297.8563297,0,99830.71182,1.167818733,0.5812758537,0,0
5.580625,297.8563309,0,99830.71564,1.167818773,0.5812857755,0,0
5.581875,297.8563335,0,99830.72108,1.167818826,0.5812988612,0,0
5.583125,297.8563377,0,99830.72819,1.167818893,0.5813150704,0,0
5.584375,297.8563432,0,99830.737,1.167818974,0.5813355108,0,0
5.585625,297.8563503,0,99830.74754,1.16781907,0.581360929,0,0
5.586875,297.8563588,0,99830.75985,1.16781918,0.5813905559,0,0
5.588125,297.8563689,0,99830.77395,1.167819306,0.5814245906,0,0
5.589375,297.8563806,0,99830.78989,1.167819446,0.5814632006,0,0
5.590625,297.8563939,0,99830.80768,1.167819603,0.5815064383,0,0
5.591875,297.8564088,0,99830.82738,1.167819774,0.581554381,0,0
5.593125,297.8564253,0,99830.84901,1.167819962,0.5816071091,0,0
5.594375,297.8564436,0,99830.87261,1.167820167,0.5816647198,0,0
5.595625,297.8564637,0,99830.89822,1.167820388,0.5817272972,0,0
5.596875,297.8564855,0,99830.92587,1.167820626,0.5817949359,0,0
5.598125,297.8565091,0,99830.95562,1.167820881,0.581867729,0,0
5.599375,297.8565345,0,99830.98748,1.167821154,0.5819457793,0,0
5.600625,297.8565619,0,99831.02151,1.167821445,0.5820291368,0,0
5.601875,297.8565911,0,99831.05776,1.167821754,0.5821178014,0,0
5.603125,297.8566223,0,99831.09625,1.167822082,0.5822119359,0,0
5.604375,297.8566555,0,99831.13704,1.16782243,0.5823116966,0,0
5.605625,297.8566907,0,99831.18017,1.167822796,0.5824151601,0,0
5.606875,297.8567279,0,99831.2257,1.167823183,0.5825107542,0,0
5.608125,297.8567675,0,99831.27365,1.167823588,0.5826170313,0,0
5.609375,297.8568099,0,99831.32408,1.167824012,0.5827608806,0,0
5.610625,297.856855,0,99831.37703,1.167824455,0.5829209958,0,0
5.611875,297.8569023,0,99831.43257,1.167824919,0.5830603601,0,0
5.613125,297.8569515,0,99831.49074,1.167825407,0.5832003051,0,0
5.614375,297.8570025,0,99831.55161,1.167825919,0.5833370405,0,0
5.615625,297.8570556,0,99831.61522,1.167826455,0.5834861789,0,0
5.616875,297.8571111,0,99831.68162,1.167827014,0.5836527091,0,0
5.618125,297.8571691,0,99831.75086,1.167827596,0.5838251524,0,0
5.619375,297.8572296,0,99831.82301,1.167828203,0.5840020948,0,0
5.620625,297.8572926,0,99831.89813,1.167828835,0.5841859248,0,0
5.621875,297.8573583,0,99831.97626,1.167829491,0.5843782668,0,0
5.623125,297.8574266,0,99832.05749,1.167830174,0.5845783396,0,0
5.624375,297.8574975,0,99832.14185,1.167830882,0.5847859911,0,0
5.625625,297.8575713,0,99832.22943,1.167831618,0.5850016428,0,0
5.626875,297.8576479,0,99832.32028,1.16783238,0.585225403,0,0
5.628125,297.8577273,0,99832.41446,1.16783317,0.5854574334,0,0
5.629375,297.8578097,0,99832.51205,1.167833989,0.5856978782,0,0
