x,T,Ybar.Liq,p,rho,U_0,U_1,U_2
0.175,299.9669199,0,999614280.6,11578.92654,0.09668476028,0,0
0.177,299.955087,0,999476372.2,11577.7858,0.1311766487,0,0
0.179,299.9396075,0,999295996.6,11576.29376,0.1762661482,0,0
0.181,299.9195808,0,999062686.2,11574.3638,0.234560738,0,0
0.183,299.8939605,0,998764287.8,11571.89531,0.3090884332,0,0
0.185,299.8615539,0,998386965.5,11568.7737,0.4032984486,0,0
0.187,299.821029,0,997915291.2,11564.87112,0.5210409793,0,0
0.189,299.7709302,0,997332435,11560.04802,0.666523103,0,0
0.191,299.7097019,0,996620461.2,11554.15549,0.8442394591,0,0
0.193,299.635722,0,995760727,11547.03856,1.058878514,0,0
0.195,299.547342,0,994734370.3,11538.54011,1.315207653,0,0
0.197,299.4429324,0,993522862.4,11528.50544,1.617942741,0,0
0.199,299.3209319,0,992108593,11516.78695,1.971609816,0,0
0.201,299.1798955,0,990475449.3,11503.24897,2.380407834,0,0
0.203,299.0185387,0,988609349.3,11487.77204,2.848081742,0,0
0.205,298.835776,0,986498692.3,11470.25664,3.377814417,0,0
0.207,298.6307492,0,984134697.6,11450.62602,3.972144316,0,0
0.209,298.4028459,0,981511610.9,11428.82785,4.632913358,0,0
0.211,298.1517064,0,978626772.8,11404.83493,5.361246752,0,0
0.213,297.877219,0,975480552.6,11378.64467,6.157563831,0,0
0.215,297.5795068,0,972076162.6,11350.27762,7.02161649,0,0
0.217,297.2589056,0,968419376.7,11319.7753,7.952550113,0,0
0.219,296.9159362,0,964518179.6,11287.1974,8.948980691,0,0
0.221,296.5512735,0,960382377.4,11252.61861,10.00908156,0,0
0.223,296.1657146,0,956023195,11216.12545,11.13067341,0,0
0.225,295.7601475,0,951452886.8,11177.81312,12.31131205,0,0
0.227,295.3355218,0,946684378.4,11137.78258,13.54836964,0,0
0.229,294.8928238,0,941730951.4,11096.13803,14.83910635,0,0
0.231,294.4330549,0,936605980.6,11052.98478,16.18073095,0,0
0.233,293.9572141,0,931322721.1,11008.42749,17.57045016,0,0
0.235,293.4662846,0,925894143.9,10962.56885,19.00550717,0,0
0.237,292.9612244,0,920332817.2,10915.50861,20.48320996,0,0
0.239,292.4429589,0,914650825.6,10867.34293,22.00095158,0,0
0.241,291.912377,0,908859715.3,10818.16385,23.55622441,0,0
0.243,291.3703273,0,902970459.1,10768.05911,25.14663013,0,0
0.245,290.8176168,0,896993435.1,10717.11186,26.76988654,0,0
0.247,290.255009,0,890938415.2,10665.4006,28.4238322,0,0
0.249,289.6832233,0,884814561.1,10612.9991,30.10642947,0,0
0.251,289.1029347,0,878630424.3,10559.9764,31.81576654,0,0
0.253,288.5147734,0,872393949.9,10506.39681,33.5500583,0,0
0.255,287.9193255,0,866112485,10452.3199,35.30762811,0,0
0.257,287.3171657,0,859793095.9,10397.80313,37.08681157,0,0
0.259,286.7089597,0,853443798.7,10342.91302,38.88584603,0,0
0.261,286.0952425,0,847071111.4,10287.70365,40.70317809,0,0
0.263,285.4764281,0,840680018,10232.21557,42.53760176,0,0
0.265,284.8528976,0,834275177.4,10176.4872,44.38801382,0,0
0.267,284.225013,0,827860958.7,10120.55472,46.25338487,0,0
0.269,283.5931125,0,821441416.5,10064.45187,48.13275287,0,0
0.271,282.957511,0,815020287.3,10008.20985,50.02521317,0,0
0.273,282.3185108,0,808601098.1,9951.858277,51.92988307,0,0
0.275,281.6764175,0,802187366.6,9895.427017,53.84590786,0,0
0.277,281.0315068,0,795782240.3,9838.942921,55.77250613,0,0
0.279,280.3840289,0,789388530.1,9782.430029,57.70896674,0,0
0.281,279.7342196,0,783008851.7,9725.910876,59.65462271,0,0
0.283,279.0822973,0,776645617.7,9669.406477,61.60885983,0,0
0.285,278.4284523,0,770300890.6,9612.934809,63.57112588,0,0
0.287,277.7728623,0,763976575.4,9556.512651,65.54091298,0,0
0.289,277.1156931,0,757674422.9,9500.155559,67.51774817,0,0
0.291,276.457099,0,751396037,9443.877914,69.50119071,0,0
0.293,275.7972238,0,745142884.2,9387.692998,71.49083025,0,0
0.295,275.1362012,0,738916303.3,9331.613066,73.48628473,0,0
0.297,274.4741556,0,732717515.9,9275.649431,75.48719829,0,0
0.299,273.8112032,0,726547635.9,9219.812535,77.49323921,0,0
0.301,273.1474521,0,720407677.7,9164.112019,79.50409801,0,0
0.303,272.4830034,0,714298564.5,9108.556785,81.51948577,0,0
0.305,271.8179512,0,708221135.2,9053.155057,83.53913251,0,0
0.307,271.1523839,0,702176151.4,8997.914425,85.5627858,0,0
0.309,270.4863838,0,696164302.7,8942.841899,87.59020952,0,0
0.311,269.8200279,0,690186212.4,8887.943944,89.62118273,0,0
0.313,269.1533883,0,684242441.7,8833.226523,91.65549877,0,0
0.315,268.4865323,0,678333493.8,8778.695115,93.6929646,0,0
0.317,267.8195228,0,672459816.7,8724.354749,95.73340014,0,0
0.319,267.152418,0,666621807.2,8670.210023,97.77663764,0,0
0.321,266.4852725,0,660819817.5,8616.265181,99.82252009,0,0
0.323,265.8181327,0,655054156.7,8562.524249,101.8708957,0,0
0.325,265.1510546,0,649325133.4,8508.991014,103.9216171,0,0
0.327,264.4840876,0,643633005.8,8455.668901,105.9745483,0,0
0.329,263.8172745,0,637977982.2,8402.560955,108.0295641,0,0
0.331,263.1506568,0,632360245.1,8349.669997,110.0865484,0,0
0.333,262.4842702,0,626779931.3,8296.998474,112.1453911,0,0
0.335,261.8181539,0,621237181.2,8244.548832,114.2059938,0,0
0.337,261.1523326,0,615732037,8192.322718,116.2682578,0,0
